Exchange tickers,,
P,Z,T  Q
P,T  Q,Z
P,T  Q,Z
P,Z,T  Q
P,Z,T  Q
P,D,Z
P,T  Q,Z
P,Z,T  Q
P,T  Q,Z
P,T  Q,Z
P,T  Q,Z
P,Z,D
P,Z,T  Q
Z,P,T  Q
Z,P,T  Q
P,Z,T  Q
Z,P,T  Q
P,Z,T  Q
P,Z,T  Q
Z,P,T  Q
Z,P,T  Q
Z,P,T  Q
P,Z,T  Q
P,Z,T  Q
Z,P,T  Q
P,Z,T  Q
Z,P,T  Q
P,T  Q,Z
Z,P,T  Q
Z,P,T  Q
Z,P,T  Q
P,Z,T  Q
Z,P,T  Q
P,Z,T  Q
P,Z,T  Q
Z,P,T  Q
T  Q,Z,P
P,Z,T  Q
Z,T  Q,P
Z,P,T  Q
Z,P,T  Q
Z,P,D
P,Z,T  Q
P,Z,D
Z,P,T  Q
Z,P,T  Q
P,Z,T  Q
P,Z,T  Q
Z,P,D
P,Z,T  Q
Z,P,T  Q
Z,T  Q,P
Z,P,T  Q
Z,P,T  Q
Z,P,T  Q
P,Z,T  Q
P,Z,T  Q
P,Z,T  Q
Z,T  Q,P
Z,P,T  Q
Z,P,T  Q
Z,T  Q,P
T  Q,Z,P
P,Z,T  Q
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
P,Z,T  Q
Z,T  Q,P
Z,T  Q,P
Z,P,T  Q
Z,T  Q,P
T  Q,Z,P
Z,P,T  Q
Z,T  Q,P
Z,T  Q,B
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,P,T  Q
P,Z,T  Q
Z,P,T  Q
Z,T  Q,P
T  Q,Z,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,P,T  Q
T  Q,Z,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
Z,T  Q,P
P,Z,T  Q
P,T  Q,Z
