T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
6,841,174141,1,925697,0,0,11968,73956,0,806,61402,369347
2,140,177540,4,1004469,0,0,9892,73610,0,505,58668,412725
2,298,180319,57,982879,0,7,10385,79345,0,1071,59124,646799
0,261,213605,3,1383908,0,0,11585,87248,0,973,69313,536880
1,25,183208,78,937317,0,10,29088,188449,0,1666,60754,620031
8,113,188810,2,1136386,0,0,14248,100775,0,969,60046,467310
2,525,286573,6,1733559,0,0,20184,162517,0,1135,84974,688302
2,251,303808,5,1918167,0,0,12490,145595,0,1159,75057,709419
2,170,220734,2,1331015,0,0,18493,152399,0,691,54435,499314
8,84,378430,7,1891438,0,0,20043,153191,0,1179,83298,622379
6,278,251116,5,1715004,0,0,20255,161479,0,1258,63252,414154
2,413,405604,10,2510626,0,0,25425,219036,0,60,90794,688200
1,249,611502,16,3546996,0,0,29425,272010,0,1573,136573,1036052
11,109,601689,26,3295387,0,0,37274,277308,0,72,136676,1158689
8,212,361171,13,2351117,0,0,26085,240965,0,63,87578,784171
17,117,423387,8,2536558,0,0,23095,197285,0,51917,90546,741007
13,1,484110,9,2669101,0,0,23922,217487,0,1810,106054,949934
9,126,481422,26,2534598,0,0,30753,248656,0,24,123125,997977
4,655,519350,27,2742713,0,0,31753,229253,0,2169,117417,987275
6,1049,347841,20,2241135,0,0,18257,163649,0,460,76592,677644
20,188,380852,16,2374030,0,0,19343,165221,0,849,97236,710461
0,505,299446,6,1984996,0,0,26063,236498,0,875,72854,651882
2,263,551961,35,2912764,0,0,36933,280920,0,1941,125580,1020398
4,277,710541,58,3560091,0,0,78464,648889,0,2122,153576,1128874
4,179,356733,27,1997368,0,0,24144,193281,0,1414,82412,695552
6,326,639651,44,3294802,0,0,26022,266653,0,2471,135442,1068538
4,331,446208,29,2882066,0,0,28265,288028,0,166,98215,875306
7,181,390298,23,2643636,0,0,38810,345111,0,794,90396,801762
0,215,512237,30,2977585,0,0,50759,370692,0,130,115474,905864
4,495,288625,16,2390626,0,0,23912,191787,0,48,73531,616746
8,135,333331,15,2550045,0,0,26267,212416,0,44,80620,713006
0,272,325081,4,2602370,0,0,41708,319277,0,884,77869,684935
2,127,356775,16,2304879,0,0,36144,282420,0,34,81130,648411
0,84,249922,11,2191043,0,0,13456,135743,0,723,66394,610036
8,113,404133,12,2955856,0,0,23304,234472,0,17358,91263,789061
6,213,325022,15,2473651,0,0,13287,142659,0,239,86728,743300
6,180,459092,18,3015594,0,0,39098,315362,0,98,109232,861991
2,124,301209,10,2169128,0,0,23748,204573,0,1783,75834,642715
35,263,263798,10,2131449,0,0,14373,123642,0,835,71912,660718
2,176,284488,10,2285783,0,0,16832,169627,0,3029,76874,642705
4,75,281966,11,2369217,0,0,16587,199388,0,1942,76826,711801
4,86,252657,7,2194469,0,0,21533,233958,0,1723,70109,685409
2,511,292593,3,2194128,0,0,32445,311345,0,2016,89338,691682
4,344,236257,9,1835086,0,0,14206,191616,0,858,64785,577134
6,89,289082,5,2203626,0,0,16498,191337,0,1007,86427,712262
5,285,334146,6,2516221,0,0,16846,167529,0,3736,99506,852813
0,390,249325,6,2264375,0,0,19902,250871,0,4227,74945,639690
1,121,293659,9,2288509,0,0,21930,205116,0,1182,77870,742957
4,136,268795,11,2347472,0,0,12835,159998,0,2230,70024,753176
6,108,334596,8,2877437,0,0,16089,193114,0,1570,80088,865282
4,110,286610,3,2410392,0,0,15582,156596,0,21,78513,748948
10,104,318470,5,2553781,0,0,14905,152040,0,148,80621,805354
10,1,367943,8,2409073,0,0,23269,198653,0,74,106584,773751
10,221,302547,7,1998524,0,0,19028,160225,0,81,85168,664030
0,334,278063,6,2098105,0,0,12955,158212,0,209,81422,738471
9,270,297669,3,2323880,0,0,20237,238646,0,7,85406,804733
1,101,369613,8,2881466,0,0,21036,205356,0,31,112233,958932
2,111,361142,12,2842222,0,0,17716,201736,0,139,97520,977649
2,57,206406,4,1602260,0,0,14114,133788,0,405,65649,598415
10,145,234276,1,1834546,0,0,11855,117538,0,78,77929,642444
6,149,276110,10,2048697,0,0,22297,249423,0,407,79969,715004
0,182,284388,3,2041912,0,0,18504,162739,0,195,82970,715719
93,382,208825,16,1634410,0,0,9299,108015,0,335,60203,535647
0,551,218232,4,1857390,0,0,14953,126812,0,230,67457,547472
2,285,333874,8,2499666,0,0,12427,119823,0,248,88912,764012
2,198,264776,4,1888648,0,0,19925,148904,0,16,77995,612762
2,199,240576,4,1969487,0,0,14640,116091,0,129,68439,606818
0,139,198246,5,1750491,0,0,13716,130064,0,324,59065,558645
0,138,228783,3,1905160,0,0,14091,125199,0,284,66423,623718
3,211,240341,5,1914109,0,0,21194,175782,0,224,71622,629596
0,531,238861,4,1881115,0,0,21593,188111,0,154,69302,596154
11,436,676113,22,3882587,0,0,24807,269855,0,384,165191,1520770
27,671,401568,22,2761417,0,0,25290,239660,0,154,115009,982121
2,2,256210,6,2188136,0,0,18939,181583,0,25,82354,771451
9,195,304615,10,2465600,0,0,15954,184745,0,328,89423,901469
2,1,397242,19,2807003,0,0,20687,197233,0,418,111739,971028
2,185,324543,14,2470703,0,0,17555,207688,0,222,97591,843049
2,208,259085,7,2022892,0,0,14349,186500,0,93,78593,758067
4,449,621068,19,3450549,0,0,22641,256440,0,525,153628,1292443
14,124,561511,34,3391353,0,0,45042,416694,0,1019,138573,1295653
6,404,355424,9,2722188,0,0,22171,211589,0,273,98924,925309
12,320,473063,19,2861481,0,0,23286,219548,0,1334,126694,1101898
6,247,351124,7,2219131,0,0,13836,127719,0,333,93722,741832
9,275,581685,42,3192014,0,0,31476,342423,0,827,179493,1248560
7,210,513630,40,2879232,0,0,53345,590625,0,1242,175727,1191764
96,350,1122914,128,5637077,0,81,64181,580078,0,5736,340978,2097165
15,274,1153271,239,5165184,0,0,81888,600602,0,287,318621,2312590
9,291,733823,66,3637000,0,0,68452,600274,0,393,222481,1403391
8,474,633135,58,3498132,0,0,29384,353829,0,884,189780,1256253
3,299,465256,27,2376003,0,0,25495,261213,0,558,136416,959281
6,241,483324,62,2994189,0,0,29595,293586,0,1215,139395,1100466
9,171,677980,73,3401454,0,0,44496,372397,0,167,201471,1394542
14,212,593445,58,3176251,0,0,30953,385812,0,714,205004,1387276
104,359,689448,87,4123907,0,0,26819,324613,0,890,233515,1726063
3,660,803906,107,4099579,0,0,47972,497039,0,245,271455,1843457
8,136,1060488,146,5527950,0,0,66794,712083,0,8,316655,2280957
17,1071,958868,127,4821966,0,0,64742,667303,0,34,277385,2028201
2,116,477265,53,3106088,0,0,39073,356004,0,268,160737,1425718
17,260,743827,100,4442498,0,0,49858,466013,0,1040,234200,1815009
12,362,709616,97,5100057,0,0,45608,449579,0,616,211387,1796043
16,186,560386,72,4402325,0,0,46161,490322,0,366,178436,1575965
2,57,598400,66,4312967,0,0,34956,330063,0,604,200778,1542537
10,107,578628,66,4430935,0,0,30010,368510,0,163,172448,1525050
3,221,472630,48,4214425,0,0,22817,320012,0,452,150020,1333004
4,115,440677,51,3651941,0,0,22179,317338,0,380,155871,1265390
3,215,681841,89,5674298,0,0,82404,959299,0,121,207140,1659638
2,1,525247,88,4999943,0,0,30223,496735,0,1168,173240,1522537
7,91,746424,129,7087656,0,0,24145,420096,0,1321,218611,2083080
4,494,531576,71,5721282,0,0,24379,437212,0,616,164979,1645942
8,122,544306,76,5559402,0,0,37486,450069,0,41,159248,1489518
4,196,429727,97,5162165,0,0,37778,526387,0,632,128232,1397845
13,695,429486,54,5554596,0,0,17035,267623,0,583,126470,1447307
7,173,406174,41,5151251,0,0,30617,448524,0,93,118556,1352029
16,469,415116,34,5274497,0,0,26400,434406,0,328,119515,1425540
10,400,476264,52,5529994,0,0,28349,448327,0,489,123381,1461701
0,431,313857,25,4253808,0,0,27871,399109,0,295,92866,1078204
12,471,457970,43,5327299,0,0,20121,304423,0,1035,114058,1221828
4,170,467190,53,5308602,0,0,18847,286397,0,12961,129401,1372949
6,536,529842,63,4813899,0,0,16583,273242,0,21011,146257,1399899
3,144,541307,76,5148494,0,0,31613,420581,0,14546,144860,1434448
2,535,475644,65,5327416,0,0,26638,354278,0,10411,129551,1307960
6,111,356898,27,6415770,0,0,23175,363879,0,8020,101317,1102521
17,605,706553,96,9233965,0,0,27527,572921,0,16273,202997,1772398
15,383,491238,39,6081909,0,0,44483,704370,0,7,133090,1253521
10,489,726368,114,8193459,0,0,35904,518367,0,8355,203002,1697726
4,1,365791,44,5326998,0,0,73991,790144,0,11008,110079,1115591
10,136,499997,36,6943633,0,0,26718,442875,0,15051,151219,1314827
4,189,484576,29,5802735,0,0,28561,599077,0,10026,140792,1162724
0,154,425535,34,6175734,0,0,42426,530323,0,62,138070,1201015
6,151,299900,19,4062811,0,0,18613,300984,0,162,92541,900569
0,60,273340,21,5345817,0,0,14363,271148,0,209,86714,972752
2,539,391285,30,6559930,0,0,28447,462334,0,535,120473,1185662
2,186,369410,31,5740339,0,0,25304,448120,0,255,103614,1163882
4,384,435272,42,5543692,0,0,35077,553369,0,716,100518,923746
2,189,518535,32,6627704,0,0,30726,486761,0,330,115762,1126170
114,309,350482,26,4981970,0,0,18025,387430,0,590,90955,1026775
0,198,439050,21,5488558,0,0,36847,572036,0,124,112649,1132597
2,602,526923,58,8121871,0,0,18413,304900,0,284,138291,1725239
10,556,455654,34,6174833,0,0,29814,471576,0,622,119585,1417524
11,137,411458,62,5366402,0,0,24427,525747,0,850,120614,1478273
2,146,280541,22,4439209,0,0,16211,305607,0,295,90402,1087778
0,820,384924,37,5943682,0,0,15585,307925,0,659,107259,1015045
3,169,310384,28,5517261,0,0,19749,373760,0,13,85694,1036141
5,331,414543,48,6149143,0,0,20617,357290,0,194,103876,1252986
3,236,390234,58,5882696,0,0,31160,578278,0,741,97377,1257445
7,1,278861,13,5105682,0,0,16974,325957,0,93,83093,959749
5,439,283394,21,5251659,0,0,14315,294767,0,2,77293,987983
9,126,285813,21,5408846,0,0,16438,357216,0,876,79200,1046252
0,85,237920,23,4408281,0,0,21003,418268,0,484,69557,904628
2,125,437542,67,7265184,0,0,52231,772466,0,680,113319,1580843
2,358,203233,22,3898849,0,0,8622,192807,0,64,59440,787907
0,475,445244,55,6435090,0,0,21240,398045,0,87,104880,1292096
4,307,476963,38,8123086,0,0,22508,407560,0,22,121286,1434675
