T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
0,2,11671,4,307538,0,0,116,2767,0,814,3446,64334
0,6,9826,3,253584,0,0,65,5020,0,665,3656,51187
0,7,14473,7,516341,0,0,72,5575,0,817,4949,63651
2,5,10352,4,394873,0,0,133,13483,0,878,2914,67671
0,7,9041,2,301531,0,0,418,11798,0,779,2984,56308
0,21,6998,12,238322,0,8,69,5534,0,706,2540,175219
0,15,14763,5,343981,0,0,399,9428,0,728,3953,63237
0,146,14088,8,373740,0,0,67,6195,0,999,4784,71790
2,158,14328,2,391030,0,0,109,4300,0,767,4286,62388
0,20,12790,1,336515,0,0,126,9079,0,749,4669,68349
0,19,8222,1,265999,0,0,130,4246,0,751,2789,48552
0,189,10576,2,175759,0,0,163,5827,0,592,3502,135939
0,7,15887,6,587186,0,0,154,6961,0,753,6429,97921
0,1,14383,5,551526,0,0,130,6441,0,886,5801,99836
0,6,10326,5,397977,0,0,64,5700,0,241,3807,67711
0,8,11640,2,454547,0,0,447,6823,0,456,3711,87369
0,1,13642,9,625941,0,0,144,10989,0,439,3791,118658
0,4,12316,12,613607,0,0,134,13486,0,176,4233,97740
0,6,17503,10,618784,0,0,118,11906,0,251,8059,135931
0,1,12946,5,523464,0,0,299,5786,0,388,5379,102438
0,9,10626,2,377083,0,0,88,6513,0,301,4171,78907
0,30,13897,5,499633,0,0,244,9205,0,300,5638,104861
0,10,19479,7,628570,0,0,735,14082,0,411,7332,124655
0,14,22664,11,850755,0,0,432,18165,0,236,8261,164598
0,9,12169,7,584689,0,0,128,10061,0,190,5193,98391
6,8,19375,6,676277,0,0,68,6531,0,504,6854,135713
0,10,18788,4,663786,0,0,45,4342,0,1273,7946,134177
0,17,19637,4,592206,0,1,157,10518,0,364,6874,118381
0,53,11053,3,480078,0,0,170,6090,0,298,4624,93954
0,1,10706,2,330088,0,0,144,7293,0,190,4173,72832
0,23,15854,4,427080,0,0,62,4088,0,245,7503,101668
2,19,17938,10,519454,0,0,205,8929,0,865,7149,117657
0,1,14751,7,368292,0,1,458,13328,0,764,4827,81168
0,11,13387,3,343083,0,0,174,4425,0,679,5000,74125
0,45,20467,3,555912,0,0,141,3927,0,558,7449,121148
2,17,15200,8,563352,0,0,80,4111,0,833,5805,117604
0,10,13817,4,424889,0,0,127,4753,0,780,5791,92631
0,5,16857,3,433112,0,0,100,5357,0,677,6386,86450
0,19,10118,0,289076,0,0,139,3053,0,670,3316,65797
0,30,8064,2,270428,0,0,172,3828,0,3211,3196,55877
0,20,8568,6,301522,0,0,47,5856,0,3737,3104,68365
0,162,7812,6,223733,0,0,33,6338,0,5932,4234,161957
2,85,13134,3,301695,0,0,264,11529,0,2189,5171,71580
0,8,8247,2,157520,0,0,175,4317,0,1935,4371,120795
0,15,8830,1,283696,0,0,295,5999,0,3224,3662,63009
0,3,10162,5,287420,0,0,124,5036,0,3974,4301,67253
0,39,9766,4,308895,0,0,56,12839,0,3690,3562,64974
0,28,10030,5,397081,0,0,320,63911,0,4496,4259,90872
0,14,5604,7,161540,0,0,149,9840,0,3788,2917,114115
0,15,13524,3,453321,0,0,53,31394,0,2892,5869,100734
0,0,8801,1,310581,0,0,148,6806,0,617,3482,69128
0,10,7580,5,332698,0,0,191,60486,0,443,3569,76627
1,17,8560,0,332279,0,0,88,15292,0,663,3975,72170
0,31,6728,7,258995,0,0,33,4609,0,570,2862,55944
0,9,10493,1,369860,0,0,153,2707,0,733,3496,82165
2,19,23947,4,645427,0,0,576,11497,0,245,8366,161651
0,14,24310,10,765264,0,0,207,8016,0,841,8090,171727
0,8,11986,9,458560,0,0,139,7439,0,353,4494,101302
0,68,9846,3,369324,0,0,100,9983,0,567,3651,87883
0,12,10812,3,363666,0,0,68,6566,0,279,2971,85236
0,21,11451,3,384114,0,0,512,76921,0,513,4636,106683
0,37,8782,3,441685,0,0,204,7302,0,886,4032,117169
26,68,15597,15,449171,0,0,430,5213,0,878,7498,116896
0,1,10481,4,365397,0,0,261,10163,0,658,4144,90662
0,8,19271,6,627382,0,0,122,12022,0,945,6793,141984
0,14,11559,10,684358,0,0,104,24095,0,888,5302,157327
0,10,7326,4,404225,0,0,79,8212,0,158,3138,80575
0,12,9709,5,385463,0,0,139,12483,0,627,3245,81053
2,13,8786,1,496380,0,0,158,12735,0,722,3713,114320
0,15,11740,3,537116,0,0,206,10301,0,792,4410,119732
0,30,10552,3,454407,0,0,141,29077,0,700,4555,104706
0,6,24804,11,800512,0,0,242,7700,0,841,7845,181969
0,40,11611,2,544006,0,0,17,13212,0,793,4291,128132
0,15,8266,1,348990,0,0,124,16965,0,739,3185,80431
0,0,12084,2,517791,0,0,333,15836,0,664,5949,129501
0,0,15233,5,613836,0,0,177,13544,0,926,7439,333021
0,8,15415,4,622231,0,0,192,12441,0,713,6842,164699
0,9,16236,4,562304,0,0,251,19433,0,886,5643,140794
0,8,45698,5,1107506,0,0,318,108745,0,840,12669,248501
0,47,29598,11,926551,0,0,374,45445,0,719,9577,208251
0,27,15327,2,611338,0,0,114,19446,0,215,5417,159012
0,91,24930,12,835965,0,0,78,6504,0,899,8982,186416
0,5,14613,5,398147,0,0,235,7115,0,701,4700,96371
0,43,33317,6,952221,0,0,846,12090,0,1024,12166,231193
0,60,48126,20,1097181,0,0,231,12241,0,1028,13933,230736
0,16,72864,21,1800472,0,254,434,17819,0,16405,21590,395773
0,1,84216,58,1654120,0,0,1021,36149,0,1246,14206,241672
0,13,35126,8,1175931,0,0,1281,21917,0,286,15469,280148
0,23,26093,8,926041,0,0,166,9130,0,180,10232,221677
0,38,18420,8,808270,0,0,148,14950,0,235,7922,177831
0,16,23939,9,1093949,0,0,190,17782,0,1086,9979,251734
0,23,41316,12,1220775,0,0,438,15761,0,97,12637,248720
0,3,23713,9,878686,0,0,167,17448,0,971,9916,217936
0,26,35580,14,1418674,0,0,198,15265,0,85,15318,404374
0,52,49563,10,1338255,0,0,256,39098,0,305,20390,403611
0,61,66465,19,1750038,0,0,619,107088,0,46,22246,458748
2,146,71835,30,1684412,0,0,907,37368,0,22,23112,474249
0,36,31669,8,768061,0,0,495,20937,0,84,8025,172303
